word,letter_combination,phoneme
jam,m,/m/
summer,mm,/m/
hammer,mm,/m/
comma,mm,/m/
common,mm,/m/
yummy,mm,/m/
mummy,mm,/m/
tummy,mm,/m/
mammal,mm,/m/
dimmer,mm,/m/
jammer,mm,/m/
lamb,mb,/m/
limb,mb,/m/
dumb,mb,/m/
numb,mb,/m/
bomb,mb,/m/
comb,mb,/m/
climb,mb,/m/
crumb,mb,/m/
thumb,mb,/m/
tomb,mb,/m/
fan,f,/f/
fin,f,/f/
fun,f,/f/
fit,f,/f/
fig,f,/f/
fox,f,/f/
far,f,/f/
fed,f,/f/
fog,f,/f/
if,f,/f/
phone,ph,/f/
photo,ph,/f/
graph,ph,/f/
phase,ph,/f/
phrase,ph,/f/
dolphin,ph,/f/
trophy,ph,/f/
phonics,ph,/f/
orphan,ph,/f/
elephant,ph,/f/
off,ff,/f/
huff,ff,/f/
puff,ff,/f/
cuff,ff,/f/
muff,ff,/f/
staff,ff,/f/
cliff,ff,/f/
sniff,ff,/f/
stuff,ff,/f/
fluff,ff,/f/
laugh,gh,/f/
cough,gh,/f/
rough,gh,/f/
tough,gh,/f/
enough,gh,/f/
trough,gh,/f/
hot,o,/ŏ/
pot,o,/ŏ/
top,o,/ŏ/
mop,o,/ŏ/
hop,o,/ŏ/
log,o,/ŏ/
nod,o,/ŏ/
fox,o,/ŏ/
box,o,/ŏ/
cot,o,/ŏ/
wash,a,/ŏ/
want,a,/ŏ/
watch,a,/ŏ/
wand,a,/ŏ/
swan,a,/ŏ/
swap,a,/ŏ/
squash,a,/ŏ/
quash,a,/ŏ/
wasp,a,/ŏ/
wallet,a,/ŏ/
cat,c,/k/
can,c,/k/
cap,c,/k/
cot,c,/k/
cup,c,/k/
cub,c,/k/
cod,c,/k/
car,c,/k/
cut,c,/k/
cow,c,/k/
kid,k,/k/
kit,k,/k/
kin,k,/k/
keg,k,/k/
key,k,/k/
kite,k,/k/
king,k,/k/
keep,k,/k/
kiss,k,/k/
skip,k,/k/
back,ck,/k/
neck,ck,/k/
sick,ck,/k/
rock,ck,/k/
duck,ck,/k/
pack,ck,/k/
kick,ck,/k/
lock,ck,/k/
sock,ck,/k/
muck,ck,/k/
ache,ch,/k/
echo,ch,/k/
school,ch,/k/
chorus,ch,/k/
chord,ch,/k/
chemist,ch,/k/
chrome,ch,/k/
chaos,ch,/k/
anchor,ch,/k/
stomach,ch,/k/
dog,d,/d/
den,d,/d/
dip,d,/d/
dot,d,/d/
dad,d,/d/
dig,d,/d/
red,d,/d/
bad,d,/d/
mud,d,/d/
kid,d,/d/
gap,g,/g/
gas,g,/g/
get,g,/g/
gum,g,/g/
go,g,/g/
got,g,/g/
pig,g,/g/
dog,g,/g/
bag,g,/g/
leg,g,/g/
egg,gg,/g/
baggy,gg,/g/
foggy,gg,/g/
doggy,gg,/g/
buggy,gg,/g/
muggy,gg,/g/
bigger,gg,/g/
jogger,gg,/g/
ragged,gg,/g/
giggle,gg,/g/
bat,b,/b/
bed,b,/b/
big,b,/b/
bog,b,/b/
bus,b,/b/
bag,b,/b/
bit,b,/b/
bun,b,/b/
cab,b,/b/
rib,b,/b/
bed,e,/ĕ/
red,e,/ĕ/
hen,e,/ĕ/
pen,e,/ĕ/
ten,e,/ĕ/
leg,e,/ĕ/
net,e,/ĕ/
wet,e,/ĕ/
yes,e,/ĕ/
get,e,/ĕ/
head,ea,/ĕ/
bread,ea,/ĕ/
dead,ea,/ĕ/
thread,ea,/ĕ/
spread,ea,/ĕ/
sweat,ea,/ĕ/
health,ea,/ĕ/
meant,ea,/ĕ/
ready,ea,/ĕ/
heavy,ea,/ĕ/
is,s,/z/
as,s,/z/
has,s,/z/
his,s,/z/
was,s,/z/
busy,s,/z/
easy,s,/z/
rose,s,/z/
nose,s,/z/
music,s,/z/
zip,z,/z/
zap,z,/z/
zoo,z,/z/
zero,z,/z/
zest,z,/z/
zone,z,/z/
zigzag,z,/z/
zebra,z,/z/
lazy,z,/z/
dozen,z,/z/
hat,h,/h/
hen,h,/h/
hip,h,/h/
hop,h,/h/
hug,h,/h/
ham,h,/h/
hot,h,/h/
hit,h,/h/
hut,h,/h/
hand,h,/h/
sun,u,/ŭ/
cup,u,/ŭ/
bus,u,/ŭ/
bug,u,/ŭ/
mud,u,/ŭ/
nut,u,/ŭ/
cut,u,/ŭ/
hut,u,/ŭ/
run,u,/ŭ/
gum,u,/ŭ/
son,o,/ŭ/
come,o,/ŭ/
some,o,/ŭ/
done,o,/ŭ/
love,o,/ŭ/
none,o,/ŭ/
ton,o,/ŭ/
won,o,/ŭ/
dove,o,/ŭ/
month,o,/ŭ/
lip,l,/l/
leg,l,/l/
log,l,/l/
lap,l,/l/
let,l,/l/
lid,l,/l/
lot,l,/l/
led,l,/l/
luck,l,/l/
look,l,/l/
bell,ll,/l/
hill,ll,/l/
fill,ll,/l/
fall,ll,/l/
tell,ll,/l/
sell,ll,/l/
doll,ll,/l/
pull,ll,/l/
well,ll,/l/
full,ll,/l/
wet,w,/w/
win,w,/w/
wig,w,/w/
web,w,/w/
wag,w,/w/
wax,w,/w/
way,w,/w/
well,w,/w/
wish,w,/w/
wood,w,/w/
when,wh,/w/
what,wh,/w/
why,wh,/w/
whip,wh,/w/
white,wh,/w/
wheel,wh,/w/
whale,wh,/w/
wheat,wh,/w/
which,wh,/w/
while,wh,/w/
quick,u,/w/
quit,u,/w/
quiz,u,/w/
queen,u,/w/
quack,u,/w/
quest,u,/w/
quill,u,/w/
quote,u,/w/
quiet,u,/w/
quart,u,/w/
age,ge,/j/
cage,ge,/j/
page,ge,/j/
rage,ge,/j/
sage,ge,/j/
huge,ge,/j/
stage,ge,/j/
large,ge,/j/
change,ge,/j/
charge,ge,/j/
jam,j,/j/
jet,j,/j/
job,j,/j/
jog,j,/j/
jug,j,/j/
jar,j,/j/
joy,j,/j/
jump,j,/j/
just,j,/j/
jeep,j,/j/
edge,dge,/j/
badge,dge,/j/
budge,dge,/j/
fudge,dge,/j/
judge,dge,/j/
ridge,dge,/j/
wedge,dge,/j/
bridge,dge,/j/
dodge,dge,/j/
lodge,dge,/j/
onion,i,/y/
union,i,/y/
million,i,/y/
billion,i,/y/
junior,i,/y/
genius,i,/y/
senior,i,/y/
companion,i,/y/
yes,y,/y/
yet,y,/y/
yam,y,/y/
yap,y,/y/
yip,y,/y/
you,y,/y/
yum,y,/y/
yell,y,/y/
yard,y,/y/
yarn,y,/y/
van,v,/v/
vet,v,/v/
vat,v,/v/
vest,v,/v/
vast,v,/v/
very,v,/v/
visit,v,/v/
save,v,/v/
have,v,/v/
give,v,/v/
rat,r,/r/
red,r,/r/
rip,r,/r/
rob,r,/r/
rug,r,/r/
ram,r,/r/
run,r,/r/
rib,r,/r/
rock,r,/r/
rain,r,/r/
wrap,wr,/r/
write,wr,/r/
wrist,wr,/r/
wrong,wr,/r/
wreck,wr,/r/
wren,wr,/r/
wring,wr,/r/
wrote,wr,/r/
wrench,wr,/r/
wrung,wr,/r/
nation,ti,/sh/
station,ti,/sh/
action,ti,/sh/
motion,ti,/sh/
lotion,ti,/sh/
option,ti,/sh/
fiction,ti,/sh/
section,ti,/sh/
patient,ti,/sh/
partial,ti,/sh/
ship,sh,/sh/
shop,sh,/sh/
fish,sh,/sh/
dish,sh,/sh/
shed,sh,/sh/
shut,sh,/sh/
shell,sh,/sh/
wish,sh,/sh/
mash,sh,/sh/
rush,sh,/sh/
special,ci,/sh/
social,ci,/sh/
facial,ci,/sh/
racial,ci,/sh/
crucial,ci,/sh/
official,ci,/sh/
precious,ci,/sh/
spacious,ci,/sh/
vicious,ci,/sh/
ancient,ci,/sh/
thin,th,/th/
thick,th,/th/
bath,th,/th/
moth,th,/th/
math,th,/th/
this,th,/th/
that,th,/th/
them,th,/th/
then,th,/th/
those,th,/th/
chip,ch,/ch/
chat,ch,/ch/
chin,ch,/ch/
chop,ch,/ch/
much,ch,/ch/
such,ch,/ch/
rich,ch,/ch/
lunch,ch,/ch/
chest,ch,/ch/
check,ch,/ch/
nature,t,/ch/
picture,t,/ch/
future,t,/ch/
feature,t,/ch/
actual,t,/ch/
fortune,t,/ch/
culture,t,/ch/
capture,t,/ch/
century,t,/ch/
virtue,t,/ch/
catch,tch,/ch/
match,tch,/ch/
hatch,tch,/ch/
patch,tch,/ch/
itch,tch,/ch/
witch,tch,/ch/
fetch,tch,/ch/
hutch,tch,/ch/
notch,tch,/ch/
stitch,tch,/ch/
sing,ng,/ng/
ring,ng,/ng/
king,ng,/ng/
song,ng,/ng/
long,ng,/ng/
bang,ng,/ng/
hang,ng,/ng/
wing,ng,/ng/
lung,ng,/ng/
rung,ng,/ng/
bank,n,/ng/
sink,n,/ng/
pink,n,/ng/
tank,n,/ng/
ink,n,/ng/
link,n,/ng/
wink,n,/ng/
monk,n,/ng/
junk,n,/ng/
trunk,n,/ng/
baby,a,/ā/
lady,a,/ā/
navy,a,/ā/
paper,a,/ā/
table,a,/ā/
able,a,/ā/
apron,a,/ā/
acorn,a,/ā/
basic,a,/ā/
agent,a,/ā/
cake,a_e,/ā/
make,a_e,/ā/
game,a_e,/ā/
name,a_e,/ā/
same,a_e,/ā/
gate,a_e,/ā/
late,a_e,/ā/
lake,a_e,/ā/
face,a_e,/ā/
safe,a_e,/ā/
rain,ai,/ā/
mail,ai,/ā/
tail,ai,/ā/
sail,ai,/ā/
pain,ai,/ā/
wait,ai,/ā/
nail,ai,/ā/
pail,ai,/ā/
train,ai,/ā/
chain,ai,/ā/
day,ay,/ā/
say,ay,/ā/
may,ay,/ā/
pay,ay,/ā/
way,ay,/ā/
hay,ay,/ā/
lay,ay,/ā/
ray,ay,/ā/
play,ay,/ā/
stay,ay,/ā/
happy,y,/ē/
baby,y,/ē/
funny,y,/ē/
sunny,y,/ē/
puppy,y,/ē/
candy,y,/ē/
silly,y,/ē/
tiny,y,/ē/
messy,y,/ē/
city,y,/ē/
he,e,/ē/
me,e,/ē/
we,e,/ē/
be,e,/ē/
she,e,/ē/
even,e,/ē/
evil,e,/ē/
ego,e,/ē/
secret,e,/ē/
equal,e,/ē/
see,ee,/ē/
bee,ee,/ē/
feet,ee,/ē/
seed,ee,/ē/
green,ee,/ē/
sleep,ee,/ē/
keep,ee,/ē/
tree,ee,/ē/
week,ee,/ē/
meet,ee,/ē/
eat,ea,/ē/
sea,ea,/ē/
tea,ea,/ē/
leaf,ea,/ē/
meat,ea,/ē/
team,ea,/ē/
bean,ea,/ē/
read,ea,/ē/
clean,ea,/ē/
dream,ea,/ē/
bike,i_e,/ī/
like,i_e,/ī/
time,i_e,/ī/
five,i_e,/ī/
kite,i_e,/ī/
ride,i_e,/ī/
side,i_e,/ī/
nine,i_e,/ī/
hide,i_e,/ī/
line,i_e,/ī/
kind,i,/ī/
mind,i,/ī/
find,i,/ī/
wild,i,/ī/
child,i,/ī/
pint,i,/ī/
mild,i,/ī/
blind,i,/ī/
grind,i,/ī/
bind,i,/ī/
my,y,/ī/
by,y,/ī/
fly,y,/ī/
try,y,/ī/
cry,y,/ī/
dry,y,/ī/
shy,y,/ī/
sky,y,/ī/
why,y,/ī/
spy,y,/ī/
high,igh,/ī/
sigh,igh,/ī/
light,igh,/ī/
night,igh,/ī/
right,igh,/ī/
might,igh,/ī/
tight,igh,/ī/
fight,igh,/ī/
bright,igh,/ī/
sight,igh,/ī/
home,o_e,/ō/
hope,o_e,/ō/
bone,o_e,/ō/
nose,o_e,/ō/
rose,o_e,/ō/
note,o_e,/ō/
rope,o_e,/ō/
cone,o_e,/ō/
joke,o_e,/ō/
mole,o_e,/ō/
go,o,/ō/
no,o,/ō/
so,o,/ō/
open,o,/ō/
over,o,/ō/
cold,o,/ō/
old,o,/ō/
most,o,/ō/
post,o,/ō/
told,o,/ō/
boat,oa,/ō/
coat,oa,/ō/
goat,oa,/ō/
road,oa,/ō/
soap,oa,/ō/
loaf,oa,/ō/
oak,oa,/ō/
foam,oa,/ō/
loan,oa,/ō/
toad,oa,/ō/
snow,ow,/ō/
show,ow,/ō/
grow,ow,/ō/
blow,ow,/ō/
slow,ow,/ō/
low,ow,/ō/
row,ow,/ō/
bowl,ow,/ō/
crow,ow,/ō/
glow,ow,/ō/
unit,u,/ū/
music,u,/ū/
human,u,/ū/
pupil,u,/ū/
unicorn,u,/ū/
uniform,u,/ū/
usual,u,/ū/
future,u,/ū/
student,u,/ū/
united,u,/ū/
cube,u_e,/ū/
cute,u_e,/ū/
mule,u_e,/ū/
tube,u_e,/ū/
tune,u_e,/ū/
use,u_e,/ū/
fuse,u_e,/ū/
duke,u_e,/ū/
mute,u_e,/ū/
huge,u_e,/ū/
food,oo,/ū/
moon,oo,/ū/
room,oo,/ū/
soon,oo,/ū/
boot,oo,/ū/
pool,oo,/ū/
cool,oo,/ū/
zoo,oo,/ū/
tooth,oo,/ū/
spoon,oo,/ū/
few,ew,/ū/
new,ew,/ū/
dew,ew,/ū/
pew,ew,/ū/
view,ew,/ū/
chew,ew,/ū/
blew,ew,/ū/
crew,ew,/ū/
drew,ew,/ū/
grew,ew,/ū/
car,ar,/ar/
far,ar,/ar/
jar,ar,/ar/
bar,ar,/ar/
star,ar,/ar/
park,ar,/ar/
farm,ar,/ar/
arm,ar,/ar/
art,ar,/ar/
dark,ar,/ar/
are,are,/ar/
heart,ear,/ar/
hearth,ear,/ar/
hearty,ear,/ar/
or,or,/or/
for,or,/or/
fork,or,/or/
corn,or,/or/
born,or,/or/
sort,or,/or/
form,or,/or/
storm,or,/or/
horse,or,/or/
short,or,/or/
more,ore,/or/
sore,ore,/or/
core,ore,/or/
bore,ore,/or/
tore,ore,/or/
wore,ore,/or/
shore,ore,/or/
store,ore,/or/
score,ore,/or/
snore,ore,/or/
her,er,/er/
term,er,/er/
fern,er,/er/
germ,er,/er/
herd,er,/er/
perk,er,/er/
verb,er,/er/
stern,er,/er/
serve,er,/er/
jerk,er,/er/
word,or,/er/
work,or,/er/
worm,or,/er/
world,or,/er/
worse,or,/er/
worst,or,/er/
worth,or,/er/
worship,or,/er/
worthy,or,/er/
worker,or,/er/
dollar,ar,/er/
collar,ar,/er/
sugar,ar,/er/
grammar,ar,/er/
beggar,ar,/er/
altar,ar,/er/
cedar,ar,/er/
solar,ar,/er/
lunar,ar,/er/
polar,ar,/er/
flu,u,/ö/
truth,u,/ö/
ruby,u,/ö/
super,u,/ö/
tuna,u,/ö/
lunar,u,/ö/
guru,u,/ö/
rule,u_e,/ö/
rude,u_e,/ö/
flute,u_e,/ö/
prune,u_e,/ö/
brute,u_e,/ö/
crude,u_e,/ö/
plume,u_e,/ö/
truce,u_e,/ö/
dupe,u_e,/ö/
rune,u_e,/ö/
moon,oo,/ö/
food,oo,/ö/
room,oo,/ö/
soon,oo,/ö/
boot,oo,/ö/
pool,oo,/ö/
cool,oo,/ö/
zoo,oo,/ö/
tooth,oo,/ö/
spoon,oo,/ö/
chew,ew,/ö/
blew,ew,/ö/
flew,ew,/ö/
grew,ew,/ö/
drew,ew,/ö/
crew,ew,/ö/
stew,ew,/ö/
brew,ew,/ö/
screw,ew,/ö/
threw,ew,/ö/
put,u,/ü/
pull,u,/ü/
push,u,/ü/
full,u,/ü/
bull,u,/ü/
bush,u,/ü/
sugar,u,/ü/
pudding,u,/ü/
bullet,u,/ü/
butcher,u,/ü/
book,oo,/ü/
look,oo,/ü/
cook,oo,/ü/
foot,oo,/ü/
good,oo,/ü/
wood,oo,/ü/
wool,oo,/ü/
hook,oo,/ü/
took,oo,/ü/
shook,oo,/ü/
woman,o,/ü/
wolf,o,/ü/
wolves,o,/ü/
bosom,o,/ü/
coin,oi,/oi/
boil,oi,/oi/
soil,oi,/oi/
join,oi,/oi/
oil,oi,/oi/
foil,oi,/oi/
point,oi,/oi/
spoil,oi,/oi/
moist,oi,/oi/
choice,oi,/oi/
boy,oy,/oi/
toy,oy,/oi/
joy,oy,/oi/
coy,oy,/oi/
soy,oy,/oi/
enjoy,oy,/oi/
annoy,oy,/oi/
royal,oy,/oi/
loyal,oy,/oi/
oyster,oy,/oi/
out,ou,/ow/
loud,ou,/ow/
house,ou,/ow/
mouse,ou,/ow/
round,ou,/ow/
sound,ou,/ow/
found,ou,/ow/
cloud,ou,/ow/
mouth,ou,/ow/
south,ou,/ow/
cow,ow,/ow/
how,ow,/ow/
now,ow,/ow/
wow,ow,/ow/
down,ow,/ow/
town,ow,/ow/
brown,ow,/ow/
clown,ow,/ow/
owl,ow,/ow/
growl,ow,/ow/
off,o,/aw/
soft,o,/aw/
cost,o,/aw/
lost,o,/aw/
long,o,/aw/
song,o,/aw/
strong,o,/aw/
cross,o,/aw/
frost,o,/aw/
cloth,o,/aw/
all,a,/aw/
ball,a,/aw/
call,a,/aw/
fall,a,/aw/
tall,a,/aw/
wall,a,/aw/
small,a,/aw/
salt,a,/aw/
talk,a,/aw/
walk,a,/aw/
haul,au,/aw/
fault,au,/aw/
sauce,au,/aw/
pause,au,/aw/
cause,au,/aw/
auto,au,/aw/
launch,au,/aw/
vault,au,/aw/
haunt,au,/aw/
taunt,au,/aw/
saw,aw,/aw/
paw,aw,/aw/
law,aw,/aw/
jaw,aw,/aw/
lawn,aw,/aw/
draw,aw,/aw/
dawn,aw,/aw/
yawn,aw,/aw/
hawk,aw,/aw/
crawl,aw,/aw/
parent,ar,/air/
vary,ar,/air/
area,ar,/air/
scary,ar,/air/
care,are,/air/
bare,are,/air/
dare,are,/air/
fare,are,/air/
hare,are,/air/
mare,are,/air/
rare,are,/air/
share,are,/air/
scare,are,/air/
spare,are,/air/
air,air,/air/
fair,air,/air/
hair,air,/air/
pair,air,/air/
chair,air,/air/
stair,air,/air/
lair,air,/air/
flair,air,/air/
dairy,air,/air/
fairy,air,/air/
there,ere,/air/
where,ere,/air/
hero,er,/ear/
zero,er,/ear/
era,er,/ear/
period,er,/ear/
serious,er,/ear/
cereal,er,/ear/
merely,er,/ear/
ear,ear,/ear/
hear,ear,/ear/
near,ear,/ear/
dear,ear,/ear/
fear,ear,/ear/
gear,ear,/ear/
year,ear,/ear/
tear,ear,/ear/
clear,ear,/ear/
beard,ear,/ear/
deer,eer,/ear/
peer,eer,/ear/
cheer,eer,/ear/
steer,eer,/ear/
jeer,eer,/ear/
sheer,eer,/ear/
sneer,eer,/ear/
veer,eer,/ear/
career,eer,/ear/
cheery,eer,/ear/
lemon,o,/ə/
wagon,o,/ə/
dragon,o,/ə/
button,o,/ə/
cotton,o,/ə/
ribbon,o,/ə/
person,o,/ə/
bacon,o,/ə/
melon,o,/ə/
apron,o,/ə/
upon,u,/ə/
supply,u,/ə/
support,u,/ə/
circus,u,/ə/
album,u,/ə/
focus,u,/ə/
bonus,u,/ə/
virus,u,/ə/
walrus,u,/ə/
campus,u,/ə/
about,a,/ə/
ago,a,/ə/
away,a,/ə/
sofa,a,/ə/
comma,a,/ə/
banana,a,/ə/
animal,a,/ə/
above,a,/ə/
awake,a,/ə/
alone,a,/ə/
pencil,i,/ə/
evil,i,/ə/
fossil,i,/ə/
civil,i,/ə/
devil,i,/ə/
pupil,i,/ə/
family,i,/ə/
lentil,i,/ə/
utensil,i,/ə/
cousin,i,/ə/
taken,e,/ə/
open,e,/ə/
garden,e,/ə/
chicken,e,/ə/
seven,e,/ə/
problem,e,/ə/
camel,e,/ə/
travel,e,/ə/
shovel,e,/ə/
oven,e,/ə/
vision,si,/zh/
fusion,si,/zh/
version,si,/zh/
decision,si,/zh/
division,si,/zh/
collision,si,/zh/
occasion,si,/zh/
invasion,si,/zh/
confusion,si,/zh/
revision,si,/zh/
measure,s,/zh/
treasure,s,/zh/
usual,s,/zh/
casual,s,/zh/
pleasure,s,/zh/
leisure,s,/zh/
genre,g,/zh/
beige,g,/zh/
mirage,g,/zh/
garage,g,/zh/
massage,g,/zh/
regime,g,/zh/
